City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bengkulu,-3.8,102.27,75.24,85,100,3.2,ID,1603913634
Ushuaia,-54.8,-68.3,46.4,61,75,19.46,AR,1603913634
Xingtai,37.06,114.49,55.17,39,100,6.15,CN,1603913635
Hamilton,39.18,-84.53,55.4,76,90,5.82,US,1603913427
Yellowknife,62.46,-114.35,24.8,73,90,8.05,CA,1603913404
Chui,-33.7,-53.46,67.41,85,73,10.92,UY,1603913635
Hobart,-42.88,147.33,50,87,75,5.82,AU,1603913505
Chokurdakh,70.63,147.92,-4.16,91,50,7.05,RU,1603913635
Severo-Kuril'sk,50.68,156.12,41.83,80,82,1.5,RU,1603913635
Carnarvon,-24.87,113.63,68,94,0,14.99,AU,1603913635
Bluff,-46.6,168.33,48.99,86,100,3,NZ,1603913635
Thompson,55.74,-97.86,15.8,61,40,9.17,CA,1603913635
Mar del Plata,-38,-57.56,62.01,59,90,5.82,AR,1603913635
Rikitea,-23.12,-134.97,74.75,83,49,13.76,PF,1603913635
Vaini,-21.2,-175.2,73.4,73,20,10.29,TO,1603913635
Hermanus,-34.42,19.23,63,65,63,11.43,ZA,1603913636
Vila Franca do Campo,37.72,-25.43,66.2,63,40,8.05,PT,1603913378
Geraldton,-28.77,114.6,57.2,76,0,11.41,AU,1603913636
Joshīmath,30.57,79.57,48.58,42,0,3.36,IN,1603913636
Iaciara,-14.1,-46.63,78.89,64,100,2.95,BR,1603913636
Bredasdorp,-34.53,20.04,64.4,68,100,6.93,ZA,1603913636
Smithers,54.78,-127.17,33.8,100,90,0.6,CA,1603913475
Donauwörth,48.7,10.8,50,91,100,7.9,DE,1603913636
Arraial do Cabo,-22.97,-42.03,89.6,74,20,14.99,BR,1603913636
Kailua,21.4,-157.74,84.2,62,75,6.93,US,1603913448
Punta Arenas,-53.15,-70.92,50,65,75,24.16,CL,1603913636
Lompoc,34.64,-120.46,80.01,22,1,5.82,US,1603913433
Barrow,71.29,-156.79,26.6,63,75,11.41,US,1603913636
Albany,42.6,-73.97,50,88,96,1.83,US,1603913401
Howard Springs,-12.5,131.05,75.2,83,8,5.82,AU,1603913637
Kaohsiung City,22.62,120.31,80.6,74,75,4.7,TW,1603913637
Mahébourg,-20.41,57.7,73.4,78,75,6.93,MU,1603913637
Loket,50.19,12.75,46,100,40,2.24,CZ,1603913637
Bambous Virieux,-20.34,57.76,73.4,78,75,6.93,MU,1603913637
San Quintín,30.48,-115.95,71.47,25,0,8.97,MX,1603913637
The Valley,18.22,-63.06,86,78,40,16.11,AI,1603913637
Mataura,-46.19,168.86,48.99,86,100,3,NZ,1603913637
Jamestown,42.1,-79.24,50,87,90,11.41,US,1603913412
Gonder,12.6,37.47,59.2,55,0,4.54,ET,1603913637
George Town,5.41,100.34,80.6,88,20,3.36,MY,1603913623
Souillac,-20.52,57.52,73.4,78,75,6.93,MU,1603913637
Norman Wells,65.28,-126.83,17.6,92,75,4.05,CA,1603913638
Māgadi,12.97,77.23,69.8,77,20,5.12,IN,1603913638
Yar-Sale,66.83,70.83,4.35,89,47,11.99,RU,1603913638
Odienné,9.51,-7.57,75.81,51,0,1.05,CI,1603913638
Aklavik,68.22,-135.01,12.2,85,75,1.66,CA,1603913638
Chicama,-7.84,-79.15,66.2,77,17,13.87,PE,1603913638
Ancud,-41.87,-73.82,53.6,54,75,6.93,CL,1603913638
Saldanha,-33.01,17.94,62.6,63,100,4.7,ZA,1603913638
Tual,-5.67,132.75,82.02,77,100,7.54,ID,1603913638
Ukiah,39.15,-123.21,73.99,24,1,2.44,US,1603913237
Ugoofaaru,5.67,73,82.56,72,0,4.88,MV,1603913485
Inverell,-29.78,151.12,53.01,97,0,2.48,AU,1603913678
Bud,39.45,-86.18,53.01,87,90,3.36,US,1603913678
Hong Kong,22.29,114.16,75,78,100,3,HK,1603913581
Cabo San Lucas,22.89,-109.91,84.99,51,20,14.99,MX,1603913679
Mercedes,-34.65,-59.43,57,91,99,4,AR,1603913679
Alyangula,-13.85,136.42,71.6,94,2,2.95,AU,1603913679
Cape Town,-33.93,18.42,62.01,82,75,19.46,ZA,1603913679
Flinders,-34.58,150.86,59,91,81,1.01,AU,1603913679
Prieska,-29.66,22.75,80.87,17,100,4.88,ZA,1603913679
Hilton Head,32.22,-80.75,81,74,20,4.7,US,1603913679
Sabang,5.89,95.32,82.42,75,100,20.94,ID,1603913679
Mareeba,-17,145.43,73.4,88,0,3.36,AU,1603913679
Chapais,49.78,-74.85,32,99,90,6.93,CA,1603913679
Kirkuk,35.47,44.39,70.45,20,73,6.78,IQ,1603913679
Kidal,18.44,1.41,83.95,14,0,10.4,ML,1603913680
Tainan City,22.99,120.21,71.6,83,40,2.24,TW,1603913680
São Filipe,14.9,-24.5,81.84,68,69,1.48,CV,1603913680
Tiksi,71.69,128.87,0.7,91,99,18.32,RU,1603913680
Vysokogornyy,50.12,139.15,31.6,98,100,2.89,RU,1603913680
North Bend,43.41,-124.22,60.8,63,1,8.05,US,1603913680
Road Town,18.42,-64.62,79,94,40,8.05,VG,1603913474
Puerto Ayora,-0.74,-90.35,75.2,73,40,10.29,EC,1603913680
Taltal,-25.4,-70.48,62.67,56,22,3.2,CL,1603913680
Bubaque,11.28,-15.83,83.91,75,73,7.85,GW,1603913680
Qaanaaq,77.48,-69.36,8.33,75,18,11.14,GL,1603913680
New Norfolk,-42.78,147.06,48.99,86,4,1.74,AU,1603913680
Sorong,-0.88,131.25,75.42,87,100,9.42,ID,1603913680
Busselton,-33.65,115.33,55.99,50,0,10.56,AU,1603913681
Saskylakh,71.92,114.08,5.5,92,100,13.56,RU,1603913681
Pekalongan,-6.89,109.68,62.01,79,93,1.79,ID,1603913681
Itoman,26.12,127.67,75.2,73,20,9.17,JP,1603913681
Monrovia,6.3,-10.8,80.6,94,75,3.36,LR,1603913681
Rocha,-34.48,-54.33,59.45,83,100,16.31,UY,1603913681
Blackwater,-23.58,148.88,64.54,40,0,6.04,AU,1603913681
Vallenar,-28.57,-70.76,80.42,25,0,9.4,CL,1603913681
Capitán Bado,-23.27,-55.53,86.56,46,8,6.93,PY,1603913681
