,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Provideniya,64.38,-173.3,24.69,88,90,7.78,RU,1604100700
1,Rikitea,-23.12,-134.97,76.21,64,0,3.87,PF,1604100979
2,Souillac,-20.52,57.52,68.0,56,40,17.22,MU,1604100979
3,Puerto Ayora,-0.74,-90.35,70.0,93,66,4.0,EC,1604100979
4,Atuona,-9.8,-139.03,77.92,73,76,10.51,PF,1604100693
6,Tuatapere,-46.13,167.68,54.0,98,100,11.99,NZ,1604100979
7,Ushuaia,-54.8,-68.3,50.0,71,75,20.8,AR,1604100861
8,Caravelas,-17.71,-39.25,76.35,82,99,8.37,BR,1604100979
9,Port Elizabeth,-33.92,25.57,51.8,81,20,2.24,ZA,1604100701
10,Bubaque,11.28,-15.83,83.68,76,61,10.71,GW,1604100979
11,Avarua,-21.21,-159.78,77.0,73,99,10.29,CK,1604100980
12,Arraial do Cabo,-22.97,-42.03,70.81,88,100,33.06,BR,1604100684
13,Butaritari,3.07,172.79,82.56,77,72,20.2,KI,1604100682
14,Concordia,-31.39,-58.02,66.2,52,0,5.82,AR,1604100980
15,Katobu,-4.94,122.53,88.0,56,61,2.39,ID,1604100980
16,Barrow,71.29,-156.79,15.8,78,1,11.41,US,1604100689
17,Salem,11.65,78.17,70.45,70,34,1.34,IN,1604100980
18,Vila Franca do Campo,37.72,-25.43,69.8,88,75,13.87,PT,1604100980
19,Castro,-24.79,-50.01,53.69,94,100,11.45,BR,1604100980
20,Ancud,-41.87,-73.82,59.0,58,0,6.93,CL,1604100736
21,Kirksville,40.19,-92.58,48.99,65,1,6.93,US,1604100980
22,Cabo San Lucas,22.89,-109.91,82.4,51,40,5.82,MX,1604100981
23,Samarai,-10.62,150.67,82.26,75,91,7.96,PG,1604100981
24,Carnarvon,-24.87,113.63,73.4,78,90,2.24,AU,1604100688
25,Bilma,18.69,12.92,73.49,20,0,10.63,NE,1604100981
26,Dhārchula,29.85,80.53,54.45,32,0,6.29,IN,1604100704
27,Hobart,-42.88,147.33,64.99,58,20,5.82,AU,1604100740
28,Khatanga,71.97,102.5,-9.83,84,0,6.62,RU,1604100981
29,Hilo,19.73,-155.09,84.2,70,90,8.05,US,1604100981
30,Nanortalik,60.14,-45.24,27.99,92,99,7.87,GL,1604100981
31,San Quintín,30.48,-115.95,70.79,56,100,9.51,MX,1604100981
32,Saint-Philippe,-21.36,55.77,68.0,64,90,24.16,RE,1604100981
33,Eagle Pass,28.71,-100.5,73.4,49,5,6.96,US,1604100840
34,Codrington,-38.27,141.97,55.53,82,56,12.75,AU,1604100981
35,George Town,5.41,100.34,80.6,88,20,5.37,MY,1604100969
36,College,64.86,-147.8,15.01,85,90,1.74,US,1604100982
37,Tiksi,71.69,128.87,8.17,95,100,4.94,RU,1604100982
38,Cape Town,-33.93,18.42,57.99,62,0,18.34,ZA,1604100683
39,Yendi,9.44,-0.01,79.68,54,47,2.84,GH,1604100982
40,Torbay,47.67,-52.73,36.0,59,90,10.29,CA,1604100982
41,Bredasdorp,-34.53,20.04,48.2,81,5,2.24,ZA,1604100847
42,Port Alfred,-33.59,26.89,60.48,62,86,3.18,ZA,1604100982
43,Chapais,49.78,-74.85,10.4,85,40,3.36,CA,1604100762
44,Pskov,57.81,28.35,48.2,93,98,4.47,RU,1604100982
45,Inhambane,-23.86,35.38,72.95,81,54,10.71,MZ,1604100982
46,Jalu,29.03,21.55,62.47,73,35,10.11,LY,1604100982
